,Symbol,PAM_freq,MutSig2CV_qvalue,Fusion_freq,CNA_freq,CNA_locus,CNA_type,GISTIC_residual_q_value,Act_freq,LoF_freq,OM_type_selected,OM_empirical_p_value,OM_empirical_q_value,Genes_in_locus,Final_mutation_type,Final_freq,Delta_over_PAM,Pathway_Length,Pathway_Name,Somatically_Mutated_Genes,Amplified_Genes,Deleted_Genes,ME_pvalues
148,ADRA1A,0.013157894736842105,1.0,,,,,,,,,,,,,,,1,,,,,
150,ADRA2A,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
151,ADRA2B,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
152,ADRA2C,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
153,ADRB1,0.007894736842105263,1.0,,,,,,,,,,,,,,,1,,,,,
154,ADRB2,0.007894736842105263,1.0,,,,,,,,,,,,,,,1,,,,,
155,ADRB3,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
156,ADRBK1,0.007894736842105263,1.0,,,,,,,,,,,,,,,1,,,,,
157,ADRBK2,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
158,ADSL,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
159,ADSS,0.010526315789473684,1.0,,,,,,,,,,,,,,,1,,,,,
160,AP2A1,0.013157894736842105,1.0,0.0,,,,,,,,,,,,,,1,,,,,
161,AP2A2,0.010526315789473684,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
162,AP1B1,0.02368421052631579,1.0,0.005263157894736842,0.04473684210526316,22q12.2,Amp,0.00055806,0.06842105263157895,0.02894736842105263,Act,0.0988,0.20288342245989305,,,,,1,,,,,
163,AP2B1,0.021052631578947368,1.0,0.0,,,,,,,,,,,,,,1,,,,,
164,AP1G1,0.013157894736842105,1.0,0.0,,,,,,,,,,,,,,1,,,,,
165,AEBP1,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
166,AES,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
167,CRISP1,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
172,AFG3L1P,0.0,,,,,,,,,,,,,,,,1,,,,,
173,AFM,0.010526315789473684,1.0,,0.021052631578947368,4q13.3,Amp,0.021206,0.031578947368421054,0.010526315789473684,,,,,,,,1,,,,,
174,AFP,0.013157894736842105,1.0,,0.021052631578947368,4q13.3,Amp,0.021206,0.034210526315789476,0.013157894736842105,,,,,,,,1,,,,,
175,AGA,0.007894736842105263,1.0,0.002631578947368421,0.02631578947368421,4q34.2,Del,6.0848e-08,0.015789473684210527,0.03684210526315789,,,,,,,,1,,,,,
176,ACAN,0.039473684210526314,1.0,0.0,,,,,,,,,,,,,,1,,,,,
177,AGER,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
178,AGL,0.031578947368421054,1.0,0.0,,,,,,,,,,,,,,1,,,,,
181,AGRP,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
182,JAG1,0.02631578947368421,1.0,0.0,,,,,,,,,,,,,,1,,,,,
183,AGT,0.010526315789473684,1.0,,0.0,1q32.1,Del,0.033566,0.02368421052631579,0.010526315789473684,,,,,,,,1,,,,,
185,AGTR1,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
186,AGTR2,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
187,APLNR,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
101056699,TRK-CTT7-1,0.0,,,,,,,,,,,,,,,,1,,,,,
189,AGXT,0.002631578947368421,1.0,0.0,0.039473684210526314,2q37.1,Del,2.4681e-18,0.002631578947368421,0.039473684210526314,,,,,,,,1,,,,,
190,NR0B1,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
191,AHCY,0.002631578947368421,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
196,AHR,0.05263157894736842,0.177752,0.0,0.060526315789473685,7p21.1,Amp,0.00020836,0.11315789473684211,0.05526315789473684,Act,0.0376,0.1895225806451613,,,,,1,,,,,
197,AHSG,0.013157894736842105,1.0,0.0,0.04473684210526316,3q26.33,Amp,0.0018563,0.05789473684210526,0.013157894736842105,Act,0.1539,0.21334873646209387,,,,,1,,,,,
199,AIF1,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
202,AIM1,0.02631578947368421,1.0,,0.018421052631578946,6q21,Del,0.0069405,0.04473684210526316,0.04473684210526316,,,,,,,,1,,,,,
203,AK1,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
204,AK2,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
205,AK4,0.002631578947368421,,,,,,,,,,,,,,,,1,,,,,
206,AK4P1,0.0,,,,,,,,,,,,,,,,1,,,,,
207,AKT1,0.007894736842105263,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
208,AKT2,0.010526315789473684,1.0,0.0,,,,,,,,,,,,,,1,,,,,
210,ALAD,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
211,ALAS1,0.02894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
212,ALAS2,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
213,ALB,0.013157894736842105,1.0,0.0,0.021052631578947368,4q13.3,Amp,0.021206,0.034210526315789476,0.013157894736842105,,,,,,,,1,,,,,
214,ALCAM,0.007894736842105263,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
215,ABCD1,0.010526315789473684,1.0,,,,,,,,,,,,,,,1,,,,,
216,ALDH1A1,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
217,ALDH2,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
218,ALDH3A1,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
219,ALDH1B1,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
220,ALDH1A3,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
221,ALDH3B1,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
222,ALDH3B2,0.010526315789473684,1.0,0.0,,,,,,,,,,,,,,1,,,,,
223,ALDH9A1,0.013157894736842105,0.4727488,0.0,,,,,,,,,,,,,,1,,,,,
224,ALDH3A2,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
225,ABCD2,0.013157894736842105,1.0,,,,,,,,,,,,,,,1,,,,,
226,ALDOA,0.015789473684210527,1.0,0.005263157894736842,,,,,,,,,,,,,,1,,,,,
228,ALDOAP2,0.0,,,,,,,,,,,,,,,,1,,,,,
229,ALDOB,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
230,ALDOC,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
231,AKR1B1,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
236,AKR1B1P2,0.0,,,,,,,,,,,,,,,,1,,,,,
238,ALK,0.02368421052631579,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
239,ALOX12,0.002631578947368421,1.0,0.0,,,,,,,,,,,,,,1,,,,,
240,ALOX5,0.010526315789473684,1.0,,,,,,,,,,,,,,,1,,,,,
241,ALOX5AP,0.0,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
242,ALOX12B,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
243,ALOX12P1,0.0,,,,,,,,,,,,,,,,1,,,,,
244,ANXA8L2,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
245,ALOX12P2,0.0,,,,,,,,,,,,,,,,1,,,,,
246,ALOX15,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
247,ALOX15B,0.002631578947368421,1.0,0.0,,,,,,,,,,,,,,1,,,,,
248,ALPI,0.005263157894736842,1.0,,0.02894736842105263,2q37.1,Del,2.4681e-18,0.005263157894736842,0.034210526315789476,,,,,,,,1,,,,,
249,ALPL,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
250,ALPP,0.005263157894736842,1.0,,0.02894736842105263,2q37.1,Del,2.4681e-18,0.005263157894736842,0.034210526315789476,,,,,,,,1,,,,,
251,ALPPL2,0.0,1.0,,0.02894736842105263,2q37.1,Del,2.4681e-18,0.0,0.02894736842105263,,,,,,,,1,,,,,
100419733,ZNF839P1,0.0,,,,,,,,,,,,,,,,1,,,,,
257,ALX3,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
258,AMBN,0.010526315789473684,1.0,,,,,,,,,,,,,,,1,,,,,
259,AMBP,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
