,Symbol,Type,Freq,Emp.p_value,q_value
1000000402_LoF,hall::FATTY-ACID-METABOLISM,LoF,0.41605839416058393,0.965,1.0
1000000351_Act,OncoSig::RB-DN.V1-DN,Act,0.3722627737226277,0.632,1.0
1000000368_LoF,OncoSig::STK33-DN,LoF,0.6021897810218978,0.719,1.0
1000000003_Act,PID::ALK1-PATHWAY,Act,0.11313868613138686,0.544,1.0
1000000299_LoF,OncoSig::KRAS.LUNG.BREAST-UP.V1-UP,LoF,0.38686131386861317,0.949,1.0
1000000204_LoF,OncoSig::ATF2-S-UP.V1-UP,LoF,0.5291970802919708,0.567,1.0
1000000203_LoF,OncoSig::ATF2-S-UP.V1-DN,LoF,0.5109489051094891,0.697,1.0
1000000202_Act,OncoSig::ALK-DN.V1-UP,Act,0.31386861313868614,0.999,1.0
1000000199_Act,OncoSig::AKT-UP-MTOR-DN.V1-DN,Act,0.4854014598540146,0.612,1.0
1000000198_LoF,OncoSig::AKT-UP.V1-UP,LoF,0.4416058394160584,0.914,1.0
1000000197_Act,OncoSig::AKT-UP.V1-DN,Act,0.4562043795620438,0.893,1.0
1000000181_LoF,PID::TELOMERASE-PATHWAY,LoF,0.2664233576642336,0.7,1.0
1000000149_Act,PID::PTP1B-PATHWAY,Act,0.19343065693430658,0.65,1.0
1000000140_LoF,PID::P75-NTR-PATHWAY,LoF,0.20802919708029197,0.988,1.0
1000000122_LoF,PID::MYC-REPRESS-PATHWAY,LoF,0.2737226277372263,0.543,1.0
1000000116_LoF,PID::LYSOPHOSPHOLI,LoF,0.27007299270072993,0.59,1.0
1000000095_LoF,PID::IL4-2PATHWAY,LoF,0.21897810218978103,0.938,1.0
1000000083_LoF,PID::HNF3B-PATHWAY,LoF,0.20802919708029197,0.597,1.0
1000000069_LoF,PID::FRA-PATHWAY,LoF,0.1897810218978102,0.534,1.0
1000000047_LoF,PID::ENDOTHELIN-PATHWAY,LoF,0.24452554744525548,0.789,1.0
1000000043_LoF,PID::E2F-PATHWAY,LoF,0.3102189781021898,0.458,1.0
1000000035_LoF,PID::CERAMIDE-PATHWAY,LoF,0.17153284671532848,0.921,1.0
1000000029_LoF,PID::CASPASE-PATHWAY,LoF,0.20802919708029197,0.81,1.0
1000000025_LoF,PID::BCR-5PATHWAY,LoF,0.22992700729927007,0.878,1.0
1000000021_LoF,PID::AURORA-B-PATHWAY,LoF,0.19708029197080293,0.498,1.0
1000000010_LoF,PID::AR-NONGENOMIC-PATHWAY,LoF,0.145985401459854,0.775,1.0
1000000009_LoF,PID::AP1-PATHWAY,LoF,0.291970802919708,0.525,1.0
1000000006_LoF,PID::AMB2-NEUTROPHILS-PATHWAY,LoF,0.18613138686131386,0.677,1.0
1000000206_LoF,OncoSig::ATF2-UP.V1-UP,LoF,0.4635036496350365,0.954,1.0
1000000207_Act,OncoSig::ATM-DN.V1-DN,Act,0.4197080291970803,0.613,1.0
1000000209_LoF,OncoSig::BCAT.100-UP.V1-DN,LoF,0.16058394160583941,0.845,1.0
1000000218_LoF,OncoSig::BMI1-DN-MEL18-DN.V1-UP,LoF,0.4306569343065693,0.777,1.0
1000000298_LoF,OncoSig::KRAS.LUNG.BREAST-UP.V1-DN,LoF,0.43795620437956206,0.631,1.0
1000000295_LoF,OncoSig::KRAS.DF.V1-UP,LoF,0.48175182481751827,0.912,1.0
1000000294_LoF,OncoSig::KRAS.DF.V1-DN,LoF,0.5364963503649635,0.462,1.0
1000000292_LoF,OncoSig::KRAS.BREAST-UP.V1-DN,LoF,0.44525547445255476,0.584,1.0
1000000289_LoF,OncoSig::KRAS.600-UP.V1-UP,LoF,0.6240875912408759,0.532,1.0
1000000288_LoF,OncoSig::KRAS.600-UP.V1-DN,LoF,0.6094890510948905,0.685,1.0
1000000287_LoF,OncoSig::KRAS.600.LUNG.BREAST-UP.V1-UP,LoF,0.6204379562043796,0.653,1.0
1000000284_LoF,OncoSig::KRAS.50-UP.V1-DN,LoF,0.145985401459854,0.994,1.0
1000000283_LoF,OncoSig::KRAS.300-UP.V1-UP,LoF,0.43795620437956206,0.646,1.0
1000000282_LoF,OncoSig::KRAS.300-UP.V1-DN,LoF,0.38686131386861317,0.936,1.0
1000000281_Act,OncoSig::JNK-DN.V1-UP,Act,0.49635036496350365,0.414,1.0
1000000311_LoF,OncoSig::MEL18-DN.V1-UP,LoF,0.4635036496350365,0.425,1.0
1000000280_LoF,OncoSig::JNK-DN.V1-DN,LoF,0.44525547445255476,0.985,1.0
1000000275_LoF,OncoSig::IL21-UP.V1-UP,LoF,0.4416058394160584,0.981,1.0
1000000271_LoF,OncoSig::HOXA9-DN.V1-UP,LoF,0.5109489051094891,0.658,1.0
1000000270_LoF,OncoSig::HOXA9-DN.V1-DN,LoF,0.4635036496350365,0.934,1.0
1000000252_LoF,OncoSig::ERBB2-UP.V1-DN,LoF,0.5255474452554745,0.605,1.0
1000000435_LoF,hall::XENOBIOTIC-METABOLISM,LoF,0.4854014598540146,0.929,1.0
1000000247_LoF,OncoSig::E2F3-UP.V1-UP,LoF,0.43795620437956206,0.99,1.0
1000000238_Act,OncoSig::CYCLIN-D1-KE-.V1-DN,Act,0.49635036496350365,0.568,1.0
1000000235_Act,OncoSig::CSR-LATE-UP.V1-UP,Act,0.42700729927007297,0.813,1.0
1000000226_LoF,OncoSig::CAMP-UP.V1-UP,LoF,0.5145985401459854,0.767,1.0
1000000224_LoF,OncoSig::CAHOY-OLIGODENDROCUTIC,LoF,0.3284671532846715,0.803,1.0
1000000219_LoF,OncoSig::BRCA1-DN.V1-DN,LoF,0.3722627737226277,0.957,1.0
1000000278_LoF,OncoSig::JAK2-DN.V1-DN,LoF,0.45255474452554745,0.587,1.0
1000000248_Act,OncoSig::EGFR-UP.V1-DN,Act,0.4708029197080292,0.626,1.0
