,Symbol,Type,Freq,Emp.p_value,q_value
1000000205_Act,OncoSig::ATF2-UP.V1-DN,Act,0.35,0.988,1.0
1000000204_Act,OncoSig::ATF2-S-UP.V1-UP,Act,0.375,0.97,1.0
1000000203_LoF,OncoSig::ATF2-S-UP.V1-DN,LoF,0.4375,0.809,1.0
1000000202_Act,OncoSig::ALK-DN.V1-UP,Act,0.325,0.985,1.0
1000000224_LoF,OncoSig::CAHOY-OLIGODENDROCUTIC,LoF,0.3125,0.698,1.0
1000000225_LoF,OncoSig::CAMP-UP.V1-DN,LoF,0.7375,0.333,1.0
1000000226_Act,OncoSig::CAMP-UP.V1-UP,Act,0.3875,0.95,1.0
1000000227_Act,OncoSig::CORDENONSI-YAP-CONSERVED-SIGNATURE,Act,0.2875,0.971,1.0
1000000248_Act,OncoSig::EGFR-UP.V1-DN,Act,0.375,0.951,1.0
1000000247_LoF,OncoSig::E2F3-UP.V1-UP,LoF,0.3875,0.884,1.0
1000000246_Act,OncoSig::E2F3-UP.V1-DN,Act,0.3375,0.991,1.0
1000000245_Act,OncoSig::E2F1-UP.V1-UP,Act,0.3625,0.976,1.0
1000000244_Act,OncoSig::E2F1-UP.V1-DN,Act,0.35,0.989,1.0
1000000243_Act,OncoSig::DCA-UP.V1-UP,Act,0.4,0.901,1.0
1000000242_Act,OncoSig::DCA-UP.V1-DN,Act,0.375,0.956,1.0
1000000241_Act,OncoSig::CYCLIN-D1-UP.V1-UP,Act,0.375,0.947,1.0
1000000201_Act,OncoSig::ALK-DN.V1-DN,Act,0.2875,1.0,1.0
1000000240_Act,OncoSig::CYCLIN-D1-UP.V1-DN,Act,0.35,0.989,1.0
1000000238_Act,OncoSig::CYCLIN-D1-KE-.V1-DN,Act,0.375,0.964,1.0
1000000235_Act,OncoSig::CSR-LATE-UP.V1-UP,Act,0.325,0.995,1.0
1000000234_Act,OncoSig::CSR-LATE-UP.V1-DN,Act,0.3,1.0,1.0
1000000233_Act,OncoSig::CSR-EARLY-UP.V1-UP,Act,0.3875,0.856,1.0
1000000231_Act,OncoSig::CRX-NRL-DN.V1-UP,Act,0.2875,1.0,1.0
1000000230_Act,OncoSig::CRX-NRL-DN.V1-DN,Act,0.375,0.82,1.0
1000000229_Act,OncoSig::CRX-DN.V1-UP,Act,0.325,0.986,1.0
1000000228_Act,OncoSig::CRX-DN.V1-DN,Act,0.325,0.976,1.0
1000000239_Act,OncoSig::CYCLIN-D1-KE-.V1-UP,Act,0.35,0.989,1.0
1000000200_Act,OncoSig::AKT-UP-MTOR-DN.V1-UP,Act,0.3375,0.992,1.0
1000000199_Act,OncoSig::AKT-UP-MTOR-DN.V1-DN,Act,0.3375,0.996,1.0
1000000198_Act,OncoSig::AKT-UP.V1-UP,Act,0.3125,0.997,1.0
1000000098_LoF,PID::IL8-CXCR1-PATHWAY,LoF,0.2375,0.291,1.0
1000000095_Act,PID::IL4-2PATHWAY,Act,0.2375,1.0,1.0
1000000091_Act,PID::IL2-1PATHWAY,Act,0.25,1.0,1.0
1000000088_LoF,PID::IL1-PATHWAY,LoF,0.2125,0.41,1.0
1000000084_LoF,PID::IFNG-PATHWAY,LoF,0.1625,0.672,1.0
1000000082_LoF,PID::HNF3A-PATHWAY,LoF,0.1375,0.886,1.0
1000000078_Act,PID::HIF1-TFPATHWAY,Act,0.325,0.722,1.0
1000000075_LoF,PID::HEDGEHOG-2PATHWAY,LoF,0.1125,0.813,1.0
1000000099_LoF,PID::IL8-CXCR2-PATHWAY,LoF,0.2875,0.292,1.0
1000000073_LoF,PID::HDAC-CLASSII-PATHWAY,LoF,0.2625,0.337,1.0
1000000043_Act,PID::E2F-PATHWAY,Act,0.3375,0.725,1.0
1000000040_LoF,PID::CXCR4-PATHWAY,LoF,0.3375,0.653,1.0
1000000033_LoF,PID::CDC42-PATHWAY,LoF,0.25,0.633,1.0
1000000027_Act,PID::BETA-CATENIN-NUC-PATHWAY,Act,0.2875,0.99,1.0
1000000022_Act,PID::AVB3-INTEGRIN-PATHWAY,Act,0.3,0.966,1.0
1000000017_LoF,PID::ATF2-PATHWAY,LoF,0.1625,0.858,1.0
1000000011_Act,PID::AR-PATHWAY,Act,0.275,0.995,1.0
1000000010_Act,PID::AR-NONGENOMIC-PATHWAY,Act,0.225,0.997,1.0
1000000054_Act,PID::ERA-GENOMIC-PATHWAY,Act,0.3,0.935,1.0
1000000249_Act,OncoSig::EGFR-UP.V1-UP,Act,0.35,0.989,1.0
1000000103_Act,PID::INTEGRIN1-PATHWAY,Act,0.225,1.0,1.0
1000000108_Act,PID::INTEGRIN-A4B1-PATHWAY,Act,0.275,0.932,1.0
1000000197_Act,OncoSig::AKT-UP.V1-DN,Act,0.4125,0.893,1.0
1000000192_Act,PID::VEGFR1-2-PATHWAY,Act,0.325,0.784,1.0
1000000188_LoF,PID::TRKR-PATHWAY,LoF,0.2125,0.686,1.0
1000000174_Act,PID::SYNDECAN-4-PATHWAY,Act,0.2375,0.996,1.0
1000000171_Act,PID::SYNDECAN-1-PATHWAY,Act,0.275,0.989,1.0
1000000169_Act,PID::SMAD2-3NUCLEAR-PATHWAY,Act,0.2875,0.993,1.0
1000000168_Act,PID::SHP2-PATHWAY,Act,0.225,1.0,1.0
1000000160_LoF,PID::RHOA-REG-PATHWAY,LoF,0.1875,0.624,1.0
1000000104_LoF,PID::INTEGRIN2-PATHWAY,LoF,0.1125,0.905,1.0
1000000148_Act,PID::PS1-PATHWAY,Act,0.2625,0.997,1.0
1000000142_Act,PID::PDGFRB-PATHWAY,Act,0.3,0.999,1.0
1000000139_Act,PID::P73PATHWAY,Act,0.2625,1.0,1.0
1000000137_Act,PID::P53-DOWNSTREAM-PATHWAY,Act,0.375,0.851,1.0
1000000131_Act,PID::NOTCH-PATHWAY,Act,0.3,0.891,1.0
1000000120_Act,PID::MYC-ACTIV-PATHWAY,Act,0.3125,0.929,1.0
1000000118_Act,PID::MET-PATHWAY,Act,0.3375,0.756,1.0
1000000116_Act,PID::LYSOPHOSPHOLI,Act,0.95,0.01,1.0
1000000112_LoF,PID::LIS1-PATHWAY,LoF,0.15,0.55,1.0
1000000146_LoF,PID::PLK1-PATHWAY,LoF,0.1375,0.886,1.0
1000000161_LoF,PID::RHODOPSIN-PATHWAY,LoF,0.175,0.341,1.0
1000000250_Act,OncoSig::EIF4E-DN,Act,0.3,0.99,1.0
1000000252_Act,OncoSig::ERBB2-UP.V1-DN,Act,0.4,0.931,1.0
1000000321_Act,OncoSig::NRL-DN.V1-DN,Act,0.375,0.837,1.0
1000000320_Act,OncoSig::NOTCH-DN.V1-UP,Act,0.3875,0.937,1.0
1000000319_Act,OncoSig::NOTCH-DN.V1-DN,Act,0.325,0.999,1.0
1000000318_Act,OncoSig::NFE2L2.V2,Act,0.525,0.989,1.0
1000000317_Act,OncoSig::MYC-UP.V1-UP,Act,0.35,0.975,1.0
1000000316_Act,OncoSig::MYC-UP.V1-DN,Act,0.3,0.999,1.0
1000000315_Act,OncoSig::MTOR-UP.V1-UP,Act,0.375,0.939,1.0
1000000314_Act,OncoSig::MTOR-UP.V1-DN,Act,0.3625,0.971,1.0
1000000313_Act,OncoSig::MTOR-UP.N4.V1-UP,Act,0.35,0.991,1.0
1000000312_Act,OncoSig::MTOR-UP.N4.V1-DN,Act,0.375,0.945,1.0
1000000311_Act,OncoSig::MEL18-DN.V1-UP,Act,0.375,0.856,1.0
1000000310_Act,OncoSig::MEL18-DN.V1-DN,Act,0.3625,0.911,1.0
1000000309_Act,OncoSig::MEK-UP.V1-UP,Act,0.3875,0.952,1.0
1000000308_Act,OncoSig::MEK-UP.V1-DN,Act,0.35,0.975,1.0
1000000307_Act,OncoSig::LTE2-UP.V1-UP,Act,0.375,0.946,1.0
1000000306_Act,OncoSig::LTE2-UP.V1-DN,Act,0.3625,0.984,1.0
1000000305_Act,OncoSig::LEF1-UP.V1-UP,Act,0.375,0.968,1.0
1000000322_Act,OncoSig::NRL-DN.V1-UP,Act,0.3125,0.993,1.0
1000000323_Act,OncoSig::P53-DN.V1-DN,Act,0.4,0.931,1.0
1000000324_Act,OncoSig::P53-DN.V1-UP,Act,0.3875,0.956,1.0
1000000325_Act,OncoSig::P53-DN.V2-DN,Act,0.3125,0.998,1.0
1000000346_LoF,OncoSig::PTEN-DN.V2-UP,LoF,0.2375,0.967,1.0
1000000345_Act,OncoSig::PTEN-DN.V2-DN,Act,0.3625,0.922,1.0
1000000344_Act,OncoSig::PTEN-DN.V1-UP,Act,0.4,0.895,1.0
1000000343_LoF,OncoSig::PTEN-DN.V1-DN,LoF,0.2125,0.998,1.0
1000000342_Act,OncoSig::PRC2-SUZ12-UP.V1-UP,Act,0.35,0.994,1.0
1000000341_Act,OncoSig::PRC2-SUZ12-UP.V1-DN,Act,0.3875,0.946,1.0
1000000340_Act,OncoSig::PRC2-EZH2-UP.V1-UP,Act,0.3625,0.984,1.0
1000000339_Act,OncoSig::PRC2-EZH2-UP.V1-DN,Act,0.3875,0.946,1.0
1000000304_Act,OncoSig::LEF1-UP.V1-DN,Act,0.325,0.999,1.0
1000000338_Act,OncoSig::PRC2-EED-DN.V1-UP,Act,0.3625,0.977,1.0
1000000336_Act,OncoSig::PRC1-BMI-UP.V1-UP,Act,0.35,0.984,1.0
1000000334_LoF,OncoSig::PKCA-DN.V1-UP,LoF,0.3,0.919,1.0
1000000333_Act,OncoSig::PKCA-DN.V1-DN,Act,0.35,0.971,1.0
1000000331_Act,OncoSig::PGF-UP.V1-DN,Act,0.3875,0.921,1.0
1000000330_Act,OncoSig::PDGF-UP.V1-UP,Act,0.375,0.863,1.0
1000000329_Act,OncoSig::PDGF-UP.V1-DN,Act,0.2875,0.999,1.0
1000000327_Act,OncoSig::PDGF-ERK-DN.V1-DN,Act,0.375,0.886,1.0
1000000326_Act,OncoSig::P53-DN.V2-UP,Act,0.3375,0.979,1.0
1000000337_Act,OncoSig::PRC2-EED-DN.V1-DN,Act,0.45,0.843,1.0
1000000303_Act,OncoSig::KRAS.PROSTATE-UP.V1-UP,Act,0.3625,0.89,1.0
